,JNAME,P0,RAJ,DECJ,GL,GB,Flux,W50
0,J0030+0451,0.0048654532112551154,00:30:27.4269,+04:51:39.7278,113.14115576037696,-57.611324580484,1.4951751840089285,NaN
1,J0034-0721,0.9429509945597656,00:34:08.8703,-07:21:53.409,110.42044663712129,-69.81547568160013,6.0,23.4
2,J0134-2937,0.13696161051365074,01:34:18.6824,-29:37:17.042,230.25107585989576,-80.24973921467095,9.0,14.2
3,J0151-0635,1.464664549333674,01:51:22.7179,-06:35:02.987,160.3681895237308,-65.0038237811733,6.0,30.5
4,J0152-1637,0.8327416126877758,01:52:10.8539,-16:37:53.641,179.30581916288017,-72.4565557873747,3.0,8.1
5,J0206-4028,0.6305512595685335,02:06:01.293,-40:28:03.62,258.59478058850686,-69.63294186044456,2.2,4.6
6,J0255-5304,0.44770847319884904,02:55:56.2925,-53:04:21.275,269.86151567755434,-55.31002447163722,7.0,6.6
7,J0348+0432,0.03912265690178056,03:48:43.639000,+04:32:11.4580,183.3368417761762,-36.77362476146142,NaN,0.63
8,J0401-7608,0.5452541781516362,04:01:51.75,-76:08:13.0,290.31279972630404,-35.90725354629525,5.0,13.0
9,J0418-4154,0.7571189332566466,04:18:03.787,-41:54:14.53,246.26154898481897,-45.68208868600413,2.2,7.1
10,J0437-4715,0.0057574519367126365,04:37:15.8961737,-47:15:09.110714,253.39445933023572,-41.963396759694284,300.0,14.0
11,J0450-1248,0.4380141493906399,04:50:08.781,-12:48:07.10,211.07528475852527,-32.62911255225295,4.0,18.7
12,J0452-1759,0.5489392232937018,04:52:34.1057,-17:59:23.371,217.07820940323492,-34.08674316777629,50.0,17.9
13,J0525+1115,0.3544375945137003,05:25:56.4483,11:15:19.08,192.6950603791353,-13.245628140265481,5.7,15.2
14,J0529-6652,0.97572496638,05:29:50.92,-66:52:38.2,276.9740038040346,-32.762863719632115,0.7475875920044642,24.0
15,J0533+0402,0.96301770198,05:33:25.82,04:02:00.5,200.08448800825434,-15.325505409891354,3.6,7.2
16,J0536-7543,1.245856132913541,05:36:30.82,-75:43:54.8,287.16109561394694,-30.820886512083547,23.0,21.5
17,J0601-0527,0.39596916954318157,06:01:58.9752,-05:27:50.871,212.19875030424714,-13.480588013115907,6.2,9.3
18,J0621+1002,0.0288538611940574,06:21:22.11436,+10:02:38.7352,200.56968127904594,-2.0128085287352713,4.734721416028274,0.69
19,J0624-0424,1.0390764758509907,06:24:20.0272,-04:24:50.4535,213.79151301001386,-8.035741012202246,3.4887420960208333,5.2
20,J0627+0649,0.346522567131,06:27:53.6286,+06:49:54.13,204.16606005133,-2.084844692745841,4.709801829628125,6.33
21,J0627+0706,0.4758849303505593,06:27:44.181,+07:06:32.8,203.9020267424675,-1.9907344566796437,5.8,
22,J0630-2834,1.2444185961512455,06:30:49.404393,-28:34:42.77881,236.9519354582735,-16.758007440648466,90.0,19.3
23,J0646+0905,0.9039132,06:46:30.995,+09:05:49.3,204.27055870673462,3.0510077993313707,5.9,11.8
24,J0659+1414,0.3849286233650379,06:59:48.196,+14:14:19.4,201.10830920560076,8.258254290331791,8.0,15.5
