,JNAME,P0,DECJ,Flux,W50
0,J0030+0451,0.0048654532112551154,+04:51:39.7278,1.4951751840089285,NaN
1,J0034-0721,0.9429509945597656,-07:21:53.409,6.0,23.4
2,J0134-2937,0.13696161051365074,-29:37:17.042,9.0,14.2
3,J0151-0635,1.464664549333674,-06:35:02.987,6.0,30.5
4,J0152-1637,0.8327416126877758,-16:37:53.641,3.0,8.1
5,J0206-4028,0.6305512595685335,-40:28:03.62,2.2,4.6
6,J0255-5304,0.44770847319884904,-53:04:21.275,7.0,6.6
7,J0348+0432,0.03912265690178056,+04:32:11.4580,NaN,0.63
8,J0401-7608,0.5452541781516362,-76:08:13.0,5.0,13.0
9,J0418-4154,0.7571189332566466,-41:54:14.53,2.2,7.1
10,J0437-4715,0.0057574519367126365,-47:15:09.110714,300.0,14.0
11,J0450-1248,0.4380141493906399,-12:48:07.10,4.0,18.7
12,J0452-1759,0.5489392232937018,-17:59:23.371,50.0,17.9
13,J0525+1115,0.3544375945137003,11:15:19.08,5.7,15.2
14,J0529-6652,0.97572496638,-66:52:38.2,0.7475875920044642,24.0
15,J0533+0402,0.96301770198,04:02:00.5,3.6,7.2
16,J0536-7543,1.245856132913541,-75:43:54.8,23.0,21.5
17,J0601-0527,0.39596916954318157,-05:27:50.871,6.2,9.3
18,J0621+1002,0.0288538611940574,+10:02:38.7352,4.734721416028274,0.69
19,J0624-0424,1.0390764758509907,-04:24:50.4535,3.4887420960208333,5.2
20,J0627+0649,0.346522567131,+06:49:54.13,4.709801829628125,6.33
21,J0627+0706,0.4758849303505593,+07:06:32.8,5.8,
22,J0630-2834,1.2444185961512455,-28:34:42.77881,90.0,19.3
23,J0646+0905,0.9039132,+09:05:49.3,5.9,11.8
24,J0659+1414,0.3849286233650379,+14:14:19.4,8.0,15.5
25,J0711-6830,0.0054909685061923135,-68:30:47.41446,9.22024696805506,1.092
26,J0729-1836,0.5101603448262563,-18:36:42.244,5.6,13.4
27,J0737-3039A,0.022699378599623916,-30:39:40.71431,8.0,
28,J0737-3039B,2.773460770066061,-30:39:40.71431,3.2395462320193453,58.0
29,J0738-4042,0.37492073594421266,-40:42:39.42,210.0,26.1
30,J0742-2822,0.16676229157216363,-28:22:43.76,86.0,9.2
31,J0758-1528,0.6822651758059591,-15:28:08.738,4.1,4.6
32,J0809-4753,0.5472021186838315,-47:53:54.70,11.0,7.4
33,J0818-3232,2.161258926939,-32:32:30.53,3.4887420960208333,23.4
34,J0820-1350,1.2381295438681763,-13:50:55.859,24.0,6.4
35,J0820-4114,0.5454455600749626,-41:14:35.3,32.0,94.8
36,J0823+0159,0.8648728046988048,+01:59:12.469,9.967834560059524,19.5
37,J0828-3417,1.848918803654907,-34:17:07.057,0.6229896600037202,740.0
38,J0835-4510,0.08932838502359318,-45:10:34.8751,2616.556572015625,1.4
39,J0837+0610,1.2737682915784503,06:10:14.56,12.459793200074404,24.8
40,J0837-4135,0.7516254225473826,-41:35:14.563,77.0,3.8
41,J0840-5332,0.7206137725065095,-53:32:35.92,6.0,10.5
42,J0842-4851,0.6443652289681416,-48:51:21.1,18.0,4.9
43,J0846-3533,1.1160984088254433,-35:33:41.2,9.2,6.8
44,J0855-3331,1.2675357027556968,-33:31:39.3151,2.9,6.0
45,J0856-6137,0.9625085573,-61:37:53.3,8.223463512049106,16.8
46,J0900-3144,0.0111096493380938,-31:44:30.89520,7.475875920044643,0.8
47,J0902-6325,0.6603133715,-63:25:12.0,4.236329688025298,16.7
48,J0904-4246,0.9651709987,-42:46:14,1.4951751840089285,21.0
49,J0904-7459,0.54955311909,-74:59:42.8,4.983917280029762,16.6
50,J0907-5157,0.25355772534006443,-51:57:59.21,22.0,12.0
51,J0908-1739,0.40162562344216124,-17:39:37.67,9.967834560059524,8.6
52,J0908-4913,0.10676903708136032,-49:13:05.06,35.0,
53,J0909-7212,1.3628899542,-72:12:08.4,4.734721416028274,13.3
54,J0922+0638,0.4306270989281231,06:38:23.30,10.0,8.7
55,J0924-5302,0.74629520954,-53:02:44.2,2.7411545040163694,13.1
56,J0924-5814,0.739505469965604,-58:14:05.1,13.0,19.9
57,J0934-5249,1.4447771408216088,-52:49:27.4,4.7,6.0
58,J0941-5244,0.65855761432,-52:44:04.48,1.2459793200074405,15.4
59,J0942-5552,0.66436748807,-55:52:52.3,27.41154504016369,9.0
60,J0942-5657,0.8081643714147704,-56:57:43.21,3.6,3.7
61,J0944-1354,0.5702641245618781,-13:54:41.63,5.0,4.7
62,J0945-4833,0.3315855987755,-48:33:14.50,0.9718638696058036,4.6
63,J0952-3839,1.3738151214,-38:39:10.2,9.967834560059524,33.6
64,J0953+0755,0.25306516494815756,07:55:35.75,210.0,13.3
65,J0955-5304,0.862122010594343,-53:04:16.57,6.7,3.7
66,J0959-4809,0.6700857604,-48:09:47.5,9.967834560059524,94.2
67,J1001-5507,1.4366308544996143,-55:07:08.6,25.0,4.0
68,J1001-5559,1.6611767402276296,-55:59:00.2,3.4887420960208333,14.8
69,J1003-4747,0.30707421923366524,-47:47:01.2,3.0,7.2
70,J1012-5857,0.8199262449677011,-58:57:48.7,4.4,7.0
71,J1013-5934,0.44290093637012345,-59:34:26.63,5.8,4.7
72,J1015-5719,0.139881677595,-57:19:12.8,7.475875920044643,44.3
73,J1016-5345,0.7695835272,-53:45:13.8,2.7411545040163694,6.8
74,J1017-5621,0.5034626204676947,-56:21:30.52,8.0,4.7
75,J1017-7156,0.0023385144401185426,-71:56:41.64586,2.467039053614732,0.06
76,J1020-5921,1.23830534423,-59:21:34,0.4983917280029762,16.9
77,J1022+1001,0.016452929954195394,+10:01:52.765,12.210597336072917,0.972
78,J1023+0038,0.0016879874702210563,00:38:40.8455,NaN,NaN
79,J1032-5911,0.46420801,-59:10,2.7411545040163694,20.0
80,J1034-3224,1.1505904284171227,-32:24:25.996,19.0,48.8
81,J1036-4926,0.510368133101,-49:26:21.77,1.9935669120119048,9.9
